Item,Purpose,Quantity,Cost,Link
100n capacitor,capacitor for capacitating,20,$0.68,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KACNNNC/3886757
4.7u capacitor,capacitor for capacitating,10,$0.60,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A475KQFNNNG/3894444
1u capacitor,capacitor for capacitating,10,$0.49,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KAFNNNE/3886724
18p capacitor,capacitor for capacitating,10,$0.49,https://www.digikey.com/en/products/detail/kemet/C0805C180M3HACTU/7949065
USB Conn,connector for connecting,2,$1.60,https://www.digikey.com/en/products/detail/gct/USB4105-GF-A/11198441
2x3 pin conn,connector for connecting,2,$0.20,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SSK03-MPH-254-B3/28772172
1x12 pin conn,connector for connecting,4,$0.76,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SSK01-MPH-254-A12/28772231
5.1k resistor,resistor for resisting,10,$0.21,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0603FT5K10/1760908
10k resistor,resistor for resisting,10,$0.25,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0710KL/726880
2.7k resistor,resistor for resisting,10,$0.21,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0603FT2K70/1761047
NCP1117,ldo,2,$0.76,https://www.digikey.com/en/products/detail/onsemi/NCP1117LPST33T3G/2194024
TVS1400,tvs diode,2,$2.20,https://www.digikey.com/en/products/detail/texas-instruments/TVS1400DRVR/8566097?s=N4IgTCBcDaIC4DcDOBGALABgwEwE4JAF0BfIA
STM32411RCT,mcu,2,$13.94,https://www.digikey.com/en/products/detail/stmicroelectronics/STM32F411RCT6/4935721
KMR211G FS,button for buttoning,2.00,$1.34,https://www.digikey.com/en/products/detail/c-k/KMR211G-LFS/550475
ABM8G-25.000MHZ-B4Y-T,crystal for crystalling,2.00,$1.64,https://www.digikey.com/en/products/detail/abracon-llc/ABM8G-25-000MHZ-B4Y-T/2218043?gclsrc=aw.ds&gad_source=1&gad_campaignid=17922795960&gclid=Cj0KCQjwjb3SBhDgARIsAMKiWzg1JLbqhfEGki8o8Jwp41Jk8wADeIN8Ymt2y0BRtB40OBOowfe_kLgaAh4yEALw_wcB
